Kerang_ijo;Kerang_ceplos;Kerang_dara;Kerang_batik;Serimping;Udang_tepung_siram_saus;Udang_masak_saos;Cumi_tepung_siram_saus;Cumi_masak_saos;Ikan_kakap;Kepiting_isi_2;Cumi_goreng_tepung;Telur_Asin;Gurame_bakar_atau_saos;CAPIT_KEPITING;AYAM_MASAK_SAUS;GURAME_GORENG;UDANG_TELUR_ASIN;TELUR_DADAR;CUMI_TELUR_ASIN;AYAM_TELOR_ASIN;CUMI_BAKAR;UDANG_BAKAR;UDANG_GORENG_TEPUNG;LELE_BAKAR_atau_GORENG;KEPITING_MEDIUM;KEPITING;KERANG_BAMBU;IKAN_FILLET_SAUS;KEONG_MACAN;KERANG_TAHU;cumi_masak_hitam;GURAME;KEPITING_BESAR;TELUR_DADAR_BAKAR;KEPITING_65;KEPITING_1;KEPITING_MIX_BOWL;kepiting_masak_saos;SERIMPING_KECIL;Oseng_cah_kang;jagung_rebus;jagung_masak_saus;tauge;oseng_terong;terong_tepung;oseng_cumi_asin;pete
0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
