type;alcohol;malic_acid;ash;alcalinity_ash;magnesium;total_phenols;flavanoids;nonflavanoid_phenols;proanthocyanins;color_intensity;hue;diluted_wines;proline
1;14.23;0,090972222;02.43;15.06;127;02.08;03.06;.28;02.29;0,252777778;01.04;0,188888889;1065
1;13.02;0,095833333;02.14;11.02;100;0,128472222;0,136111111;.26;01.28;04.38;01.05;03.04;1050
1;13.16;02.36;0,129861111;18.06;101;02.08;03.24;.3;0,139583333;0,255555556;01.03;03.17;1185
1;14.37;0,107638889;02.05;16.08;113;0,184027778;03.49;.24;02.18;07.08;.86;03.45;1480
1;13.24;02.59;0,14375;21;118;02.08;0,13125;.39;0,098611111;04.32;01.04;0,147916667;735
1;14.02;0,094444444;02.45;15.02;112;03.27;03.39;.34;0,109027778;0,302083333;01.05;0,142361111;1450
1;14.39;0,102083333;02.45;14.06;96;02.05;02.52;.3;0,109722222;05.25;01.02;03.58;1290
1;14.06;02.15;0,125694444;17.06;121;02.06;02.51;.31;01.25;05.05;01.06;03.58;1295
1;0,640972222;0,086111111;02.17;14;97;02.08;0,151388889;.29;0,109722222;05.02;01.08;0,142361111;1045
1;0,601388889;01.35;02.27;16;98;0,151388889;03.15;.22;0,100694444;07.22;01.01;03.55;1045
1;14.01;02.16;02.03;18;105;0,149305556;03.32;.22;02.38;0,260416667;01.25;03.17;1510
1;14.12;01.48;02.32;16.08;95;02.02;02.43;.26;01.57;5;01.17;0,140277778;1280
1;0,59375;0,092361111;02.41;16;89;02.06;0,136111111;.29;0,097916667;05.06;01.15;02.09;1320
1;0,635416667;0,092361111;02.39;11.04;91;03.01;0,172916667;.43;0,139583333;05.04;01.25;0,134027778;1150
1;14.38;0,102083333;02.38;12;102;03.03;0,169444444;.29;0,15;07.05;01.02;3;1547
1;0,585416667;0,097916667;02.07;17.02;112;0,142361111;0,146527778;.3;01.46;07.03;01.28;0,144444444;1310
1;14.03;0,105555556;0,133333333;20;120;02.08;03.14;.33;0,109027778;06.02;01.07;0,128472222;1280
1;0,599305556;01.57;0,126388889;20;115;0,149305556;03.04;.4;0,091666667;06.06;01.13;02.57;1130
1;14.19;01.59;02.48;16.05;108;03.03;0,189583333;.32;0,101388889;08.07;01.23;0,140277778;1680
1;0,586111111;03.01;02.56;15.02;116;02.07;03.03;.17;0,0875;05.01;.96;03.36;845
1;14.06;0,085416667;02.28;16;126;3;03.17;.24;02.01;0,253472222;01.09;0,174305556;780
1;0,564583333;03.08;0,128472222;18.06;102;02.41;02.41;.25;0,109722222;04.05;01.03;03.52;770
1;0,590972222;0,101388889;02.36;16.06;101;0,125694444;0,144444444;.27;0,089583333;03.08;01.11;4;1035
1;0,559027778;01.06;02.52;17.08;95;02.48;02.37;.26;01.46;0,189583333;01.09;0,16875;1015
1;13.05;0,097916667;0,125694444;20;96;02.53;0,125694444;.28;0,0875;03.52;01.12;0,181944444;845
1;13.05;02.05;03.22;25;124;0,127083333;0,130555556;.47;0,105555556;03.58;01.13;03.02;830
1;13.39;0,095138889;0,126388889;16.01;93;0,142361111;0,148611111;.34;01.45;04.08;.92;03.22;1195
1;13.03;0,091666667;02.14;17;94;02.04;02.19;.27;01.35;0,190972222;01.02;0,136805556;1285
1;0,602083333;01.09;02.08;19.04;107;0,149305556;0,150694444;.37;0,094444444;04.05;01.25;03.04;915
1;14.02;0,088888889;02.21;16;96;0,128472222;02.33;.26;0,109722222;04.07;01.04;03.59;1035
1;0,592361111;01.05;02.07;22.05;101;3;03.25;.29;02.38;05.07;01.19;0,132638889;1285
1;13.58;0,0875;02.36;19.01;106;0,143055556;03.19;.22;0,107638889;06.09;01.09;0,144444444;1515
1;0,588888889;0,099305556;02.36;17.02;104;02.42;0,13125;.42;0,109027778;0,183333333;01.23;0,14375;990
1;0,594444444;01.53;02.07;19.05;132;0,149305556;0,134722222;.5;01.35;05.04;01.25;3;1235
1;13.51;01.08;0,128472222;19;110;02.35;02.53;.29;01.54;04.02;01.01;0,14375;1095
1;13.48;0,097916667;02.41;20.05;100;02.07;0,151388889;.26;0,101388889;05.01;01.04;03.47;920
1;13.28;0,086111111;0,141666667;15.05;110;02.06;0,130555556;.34;01.36;04.06;01.09;0,1375;880
1;13.05;0,086805556;02.55;18;98;02.45;02.43;.29;01.44;04.25;01.12;02.51;1105
1;13.07;01.05;02.01;15.05;98;02.04;0,127777778;.28;01.37;03.07;01.18;0,13125;1020
1;14.22;0,19375;02.51;13.02;128;3;03.04;.2;02.08;05.01;.89;03.53;760
1;13.56;0,090972222;02.31;16.02;117;03.15;03.29;.34;02.34;06.13;.95;03.38;795
1;13.41;0,183333333;02.12;18.08;90;02.45;0,130555556;.27;01.48;04.28;.91;3;1035
1;0,602777778;0,103472222;02.59;15;101;03.25;03.56;.17;01.07;05.43;.88;03.56;1095
1;13.24;0,193055556;02.29;17.05;103;0,127777778;0,127083333;.32;0,0875;04.36;.82;3;680
1;13.05;0,095138889;02.01;17;107;3;3;.28;02.03;05.04;.88;03.35;885
1;14.21;04.04;02.44;18.09;111;0,142361111;0,128472222;.3;01.25;05.24;.87;03.33;1080
1;14.38;03.59;02.28;16;102;03.25;03.17;.27;02.19;04.09;01.04;03.44;1065
1;13.09;0,088888889;02.12;16;101;03.01;03.39;.21;02.14;06.01;.91;03.33;985
1;14.01;02.02;02.04;18.08;103;0,135416667;0,147222222;.32;02.38;06.02;01.07;0,135416667;1060
1;0,606944444;0,092361111;02.27;17.04;108;0,144444444;03.54;.32;02.08;0,395833333;01.12;03.01;1260
1;13.05;0,092361111;02.04;12.04;92;0,133333333;03.27;.17;0,146527778;07.02;01.12;0,146527778;1150
1;0,599305556;0,086805556;02.06;17.02;94;02.45;0,152083333;.22;02.29;05.06;01.24;03.37;1265
1;0,598611111;0,09375;02.42;14;111;0,186111111;0,176388889;.32;0,102083333;07.05;01.01;03.26;1190
1;0,595138889;01.09;0,130555556;17.01;115;3;0,138194444;.39;0,088888889;06.03;01.13;0,147916667;1375
1;0,593055556;0,088194444;02.25;16.04;118;02.06;02.09;.21;0,084722222;0,267361111;.92;03.02;1060
1;13.56;0,092361111;02.46;20.05;116;0,15;0,1375;.2;02.45;06.25;.98;03.03;1120
1;14.22;01.07;02.03;16.03;118;03.02;3;.26;02.03;06.38;.94;03.31;970
1;13.29;0,109027778;0,130555556;16.08;102;3;03.23;.31;0,0875;6;01.07;0,141666667;1270
1;0,591666667;01.43;02.05;16.07;108;03.04;0,171527778;.19;02.04;06.08;.89;0,14375;1285
2;12.37;.94;01.36;10.06;88;0,109722222;.57;.28;.42;0,107638889;01.05;0,098611111;520
2;12.33;01.01;02.28;16;101;02.05;01.09;.63;.41;03.27;01.25;0,088194444;680
2;0,544444444;01.36;02.02;16.08;100;02.02;01.41;.53;.62;0,260416667;.98;01.59;450
2;0,588194444;01.25;0,105555556;18;94;02.01;0,096527778;.32;.73;03.08;01.23;02.46;630
2;12.37;01.13;02.16;19;87;03.05;03.01;.19;0,102083333;04.45;01.22;0,14375;420
2;12.17;01.45;02.53;19;104;0,103472222;0,09375;.45;01.03;0,149305556;01.45;02.23;355
2;12.37;01.21;02.56;18.01;98;02.42;0,128472222;.37;02.08;04.06;01.19;02.03;678
2;13.11;01.01;01.07;15;78;0,151388889;03.18;.26;02.28;05.03;01.12;03.18;502
2;12.37;01.17;0,105555556;19.06;78;02.11;2;.27;01.04;0,213888889;01.12;03.48;510
2;13.34;.94;02.36;17;110;02.53;01.03;.55;.42;03.17;01.02;0,10625;750
2;12.21;01.19;0,09375;16.08;151;0,100694444;01.28;.14;02.05;0,142361111;01.28;03.07;718
2;12.29;0,084027778;02.21;20.04;103;01.01;01.02;.37;01.46;03.05;.906;0,098611111;870
2;0,601388889;01.51;0,129861111;25;86;0,149305556;0,143055556;.21;0,102083333;03.38;01.36;03.16;410
2;13.49;0,0875;02.24;24;87;0,102777778;0,1;.27;01.03;0,176388889;.98;0,1375;472
2;0,56875;0,088194444;02.06;30;139;03.03;0,145138889;.21;0,108333333;03.35;01.31;03.05;985
2;0,525;01.09;02.03;21;101;03.38;02.14;.13;0,086805556;03.21;.99;03.13;886
2;0,504166667;0,102777778;0,105555556;16;97;0,084027778;01.57;.34;01.15;03.08;01.23;02.14;428
2;13.03;.9;0,090972222;16;86;0,107638889;02.03;.24;01.46;04.06;01.19;02.48;392
2;0,516666667;0,145138889;02.23;18;112;0,091666667;01.32;.43;.95;0,128472222;.96;02.52;500
2;12.33;.99;0,107638889;14.08;136;01.09;0,100694444;.35;0,136111111;03.04;01.06;02.31;750
2;12.07;0,185416667;02.04;23;101;0,140972222;02.55;.43;0,107638889;02.57;01.19;03.13;463
2;12;.92;2;19;86;02.42;02.26;.3;01.43;02.05;01.38;03.12;278
2;0,55;0,097916667;02.02;18.08;86;02.02;02.53;.26;0,095138889;03.09;01.16;03.14;714
2;12.08;01.13;02.51;24;78;2;01.58;.4;01.04;02.02;01.31;0,133333333;630
2;13.05;0,184722222;02.32;22.05;85;0,086805556;01.59;.61;0,084722222;04.08;.84;02.01;515
2;0,516666667;.89;02.58;18;94;02.02;02.21;.22;02.35;03.05;.79;03.08;520
2;0,546527778;.98;02.24;18;99;02.02;0,106944444;.3;01.46;0,126388889;01.23;03.16;450
2;12.16;0,084027778;02.31;22.08;90;0,095833333;0,089583333;.43;01.56;02.45;01.33;02.26;495
2;0,503472222;0,088194444;0,126388889;26;88;0,105555556;0,084027778;.4;01.34;02.06;01.36;03.21;562
2;0,502777778;02.06;02.46;21.06;84;0,107638889;0,089583333;.48;01.35;02.08;1;0,135416667;680
2;12.08;01.33;02.03;23.06;70;02.02;01.59;.42;01.38;0,093055556;01.07;03.21;625
2;12.08;0,099305556;02.32;18.05;81;01.06;01.05;.52;0,086111111;02.04;01.08;02.27;480
2;12;01.51;02.42;22;86;01.45;01.25;.5;0,085416667;03.06;01.05;0,128472222;450
2;0,547916667;01.53;02.26;20.07;80;01.38;01.46;.58;0,084722222;03.05;.96;02.06;495
2;12.29;0,140972222;02.22;18;88;02.45;02.25;.25;0,110416667;02.15;01.15;03.03;290
2;0,501388889;0,110416667;02.28;18;98;03.02;02.26;.17;01.35;03.25;01.16;0,15;345
2;12.47;01.52;02.02;19;162;02.05;02.27;.32;03.28;02.06;01.16;0,127083333;937
2;0,514583333;02.12;0,134722222;21.05;134;01.06;.99;.14;01.56;02.05;.95;02.26;625
2;12.29;01.41;0,109722222;16;85;02.55;02.05;.29;0,095138889;02.09;01.23;0,134722222;428
2;12.37;01.07;02.01;18.05;88;03.52;0,177083333;.24;0,107638889;04.05;01.04;0,136805556;660
2;12.29;03.17;02.21;18;88;0,142361111;0,152083333;.45;0,139583333;02.03;01.42;0,140972222;406
2;12.08;02.08;01.07;17.05;97;02.23;02.17;.26;01.04;03.03;01.27;0,15;710
2;12.06;01.34;01.09;18.05;88;01.45;01.36;.29;01.35;02.45;01.04;0,136805556;562
2;12.34;02.45;02.46;21;98;02.56;02.11;.34;01.31;02.08;.8;03.38;438
2;0,515277778;0,091666667;0,102777778;19.05;86;02.05;0,086111111;.37;01.42;02.06;.94;02.44;415
